ts_open_ms,open,high,low,close,volume,ts_close_ms
1751328000000,107087.3,107093.8,107063.5,107068.1,100.254,1751328059999
1751328060000,107068.1,107087.6,107061.7,107087.5,36.15,1751328119999
1751328120000,107087.6,107099.8,107073.2,107099.8,46.235,1751328179999
1751328180000,107099.8,107114.1,107099.7,107114.1,19.049,1751328239999
1751328240000,107114.1,107114.1,107065.0,107084.8,44.728,1751328299999
1751328300000,107084.8,107093.3,107036.7,107050.1,23.901,1751328359999
1751328360000,107050.1,107104.8,107039.4,107098.2,40.2,1751328419999
1751328420000,107098.2,107125.2,107075.6,107125.2,41.121,1751328479999
1751328480000,107125.2,107142.0,107125.1,107138.5,32.966,1751328539999
1751328540000,107138.5,107197.3,107138.4,107197.3,41.921,1751328599999
1751328600000,107197.3,107221.1,107160.0,107180.8,111.785,1751328659999
1751328660000,107180.9,107221.2,107180.8,107221.2,43.384,1751328719999
1751328720000,107221.2,107253.3,107221.1,107253.3,42.149,1751328779999
1751328780000,107253.2,107314.3,107253.2,107279.9,111.268,1751328839999
1751328840000,107279.9,107298.2,107277.5,107277.5,28.053,1751328899999
1751328900000,107277.5,107293.5,107274.5,107293.4,29.795,1751328959999
1751328960000,107293.5,107385.0,107293.4,107378.6,310.363,1751329019999
1751329020000,107378.6,107390.6,107325.7,107339.7,124.924,1751329079999
1751329080000,107339.8,107389.7,107339.7,107379.9,169.119,1751329139999
1751329140000,107380.0,107380.0,107367.0,107374.0,48.943,1751329199999
1751329200000,107374.0,107408.2,107373.9,107394.1,120.575,1751329259999
1751329260000,107394.0,107394.1,107380.0,107380.1,66.623,1751329319999
1751329320000,107380.1,107380.2,107367.0,107367.4,74.379,1751329379999
1751329380000,107367.4,107367.4,107300.0,107302.1,130.059,1751329439999
1751329440000,107302.0,107302.1,107207.8,107207.8,59.695,1751329499999
1751329500000,107207.8,107207.9,107095.1,107136.9,410.548,1751329559999
1751329560000,107136.9,107164.0,107111.6,107111.7,27.163,1751329619999
1751329620000,107111.6,107117.0,107107.2,107111.3,19.172,1751329679999
1751329680000,107111.3,107133.6,107105.2,107127.5,39.453,1751329739999
1751329740000,107127.4,107133.6,107111.4,107111.4,23.143,1751329799999
1751329800000,107111.4,107114.5,107023.0,107023.0,78.939,1751329859999
1751329860000,107023.1,107038.5,106980.5,107036.4,194.031,1751329919999
1751329920000,107036.5,107056.8,107036.4,107056.8,41.858,1751329979999
1751329980000,107056.7,107056.8,106972.9,107013.4,71.955,1751330039999
1751330040000,107013.4,107098.6,107008.8,107098.6,52.23,1751330099999
1751330100000,107098.6,107192.4,107098.6,107188.1,63.309,1751330159999
1751330160000,107188.1,107218.4,107159.1,107164.3,69.457,1751330219999
1751330220000,107164.3,107164.3,107127.2,107162.6,25.833,1751330279999
1751330280000,107162.5,107187.2,107138.3,107148.1,38.867,1751330339999
1751330340000,107148.1,107183.8,107144.6,107153.9,18.597,1751330399999
1751330400000,107153.9,107171.4,107146.9,107154.8,13.881,1751330459999
1751330460000,107154.7,107169.1,107132.9,107168.9,50.25,1751330519999
1751330520000,107169.0,107250.0,107169.0,107249.9,32.528,1751330579999
1751330580000,107249.9,107249.9,107217.5,107234.7,24.751,1751330639999
1751330640000,107234.7,107240.2,107223.1,107240.2,20.246,1751330699999
1751330700000,107240.2,107288.5,107233.0,107277.7,35.629,1751330759999
1751330760000,107277.6,107302.1,107277.6,107302.1,35.632,1751330819999
1751330820000,107302.0,107302.1,107289.3,107296.9,25.044,1751330879999
1751330880000,107297.0,107302.1,107280.0,107280.0,19.621,1751330939999
1751330940000,107280.1,107280.1,107260.0,107260.0,17.363,1751330999999
1751331000000,107260.1,107266.8,107260.0,107266.8,8.389,1751331059999
1751331060000,107266.7,107285.3,107254.6,107285.3,30.37,1751331119999
1751331120000,107285.3,107323.7,107285.2,107323.6,26.466,1751331179999
1751331180000,107323.6,107342.9,107285.7,107285.8,29.471,1751331239999
1751331240000,107285.8,107307.3,107285.7,107300.9,18.078,1751331299999
1751331300000,107300.9,107300.9,107294.8,107300.6,8.492,1751331359999
1751331360000,107300.7,107322.1,107285.8,107285.8,22.206,1751331419999
1751331420000,107285.8,107287.9,107285.8,107287.9,13.663,1751331479999
1751331480000,107287.9,107298.9,107287.8,107298.9,6.16,1751331539999
1751331540000,107299.0,107327.9,107298.9,107327.8,15.138,1751331599999
1751331600000,107327.9,107366.0,107327.8,107366.0,68.082,1751331659999
1751331660000,107365.9,107366.0,107341.0,107354.5,31.988,1751331719999
1751331720000,107354.5,107366.0,107309.9,107352.0,70.747,1751331779999
1751331780000,107352.0,107358.0,107347.1,107358.0,36.158,1751331839999
1751331840000,107357.9,107357.9,107239.8,107307.5,191.527,1751331899999
1751331900000,107307.6,107342.4,107307.6,107313.0,26.338,1751331959999
1751331960000,107313.0,107380.2,107312.9,107380.2,38.523,1751332019999
1751332020000,107380.2,107400.0,107345.2,107368.8,103.742,1751332079999
1751332080000,107368.8,107368.8,107346.8,107351.0,23.728,1751332139999
1751332140000,107351.0,107380.5,107351.0,107368.3,35.073,1751332199999
1751332200000,107368.3,107379.7,107366.8,107366.9,21.165,1751332259999
1751332260000,107366.9,107373.6,107318.9,107329.6,59.425,1751332319999
1751332320000,107329.6,107344.0,107329.5,107333.2,14.907,1751332379999
1751332380000,107333.1,107384.0,107333.1,107384.0,36.27,1751332439999
1751332440000,107383.9,107450.0,107383.9,107432.4,75.753,1751332499999
1751332500000,107432.4,107432.4,107384.4,107393.3,32.05,1751332559999
1751332560000,107393.3,107431.7,107393.3,107420.1,27.523,1751332619999
1751332620000,107420.0,107420.0,107372.2,107398.7,35.403,1751332679999
1751332680000,107398.8,107409.2,107388.0,107388.0,10.766,1751332739999
1751332740000,107388.0,107430.8,107374.7,107430.8,40.189,1751332799999
1751332800000,107430.8,107444.6,107405.0,107405.0,18.51,1751332859999
1751332860000,107405.0,107420.2,107405.0,107419.9,8.223,1751332919999
1751332920000,107420.0,107450.0,107419.9,107450.0,42.879,1751332979999
1751332980000,107450.0,107499.9,107449.9,107466.0,99.063,1751333039999
1751333040000,107466.1,107466.1,107432.6,107450.0,24.648,1751333099999
1751333100000,107449.9,107449.9,107426.1,107426.2,31.522,1751333159999
1751333160000,107426.1,107426.2,107378.2,107388.7,28.102,1751333219999
1751333220000,107388.8,107412.5,107381.7,107381.7,24.336,1751333279999
1751333280000,107381.7,107381.8,107339.7,107339.7,19.318,1751333339999
1751333340000,107339.7,107360.0,107331.3,107359.9,12.721,1751333399999
1751333400000,107360.0,107383.7,107342.7,107342.7,33.626,1751333459999
1751333460000,107342.7,107342.8,107307.6,107307.6,17.883,1751333519999
1751333520000,107307.6,107314.0,107307.6,107307.7,17.584,1751333579999
1751333580000,107307.6,107354.0,107300.0,107353.9,31.131,1751333639999
1751333640000,107353.9,107440.0,107353.9,107440.0,23.61,1751333699999
1751333700000,107440.0,107473.1,107409.6,107409.6,43.113,1751333759999
1751333760000,107409.6,107415.9,107388.1,107409.7,23.586,1751333819999
1751333820000,107409.7,107419.9,107389.3,107389.4,10.119,1751333879999
1751333880000,107389.4,107389.4,107358.1,107374.5,22.171,1751333939999
1751333940000,107374.5,107374.5,107340.1,107343.3,18.822,1751333999999
1751334000000,107343.3,107343.4,107309.0,107309.1,12.993,1751334059999
1751334060000,107309.1,107309.1,107253.4,107282.9,49.777,1751334119999
1751334120000,107283.0,107288.5,107275.5,107279.5,24.713,1751334179999
1751334180000,107279.4,107279.5,107267.4,107279.4,20.48,1751334239999
1751334240000,107279.4,107287.8,107275.6,107278.6,14.186,1751334299999
1751334300000,107278.7,107300.1,107278.6,107300.1,22.378,1751334359999
1751334360000,107300.2,107317.2,107286.3,107286.3,24.808,1751334419999
1751334420000,107286.3,107336.5,107286.3,107318.4,17.029,1751334479999
1751334480000,107318.4,107318.4,107291.9,107291.9,15.738,1751334539999
1751334540000,107292.0,107310.1,107291.9,107294.8,30.296,1751334599999
1751334600000,107294.8,107294.9,107284.6,107284.6,9.755,1751334659999
1751334660000,107284.6,107284.6,107214.5,107214.5,47.088,1751334719999
1751334720000,107214.6,107214.6,107161.0,107164.2,52.919,1751334779999
1751334780000,107164.2,107164.2,107137.8,107154.6,99.397,1751334839999
1751334840000,107154.6,107154.7,107133.3,107133.3,29.54,1751334899999
1751334900000,107133.4,107184.8,107119.2,107184.8,41.979,1751334959999
1751334960000,107184.7,107189.3,107174.1,107189.3,20.48,1751335019999
1751335020000,107189.3,107200.8,107176.2,107176.3,30.401,1751335079999
1751335080000,107176.2,107207.0,107162.1,107168.3,45.346,1751335139999
1751335140000,107168.3,107171.8,107160.2,107171.8,32.169,1751335199999
1751335200000,107171.7,107171.8,107155.6,107162.5,23.992,1751335259999
1751335260000,107162.4,107171.0,107155.6,107170.9,22.492,1751335319999
1751335320000,107171.0,107171.0,107157.6,107157.6,22.869,1751335379999
1751335380000,107157.7,107157.7,107135.0,107135.0,24.231,1751335439999
1751335440000,107135.0,107190.3,107128.8,107189.3,120.277,1751335499999
1751335500000,107189.2,107236.0,107183.9,107236.0,24.966,1751335559999
1751335560000,107235.9,107250.0,107235.9,107249.8,17.211,1751335619999
1751335620000,107249.9,107249.9,107206.8,107206.9,18.183,1751335679999
1751335680000,107206.9,107248.6,107206.7,107248.5,25.872,1751335739999
1751335740000,107248.6,107254.6,107210.0,107210.0,19.92,1751335799999
1751335800000,107210.1,107210.1,107199.9,107205.4,18.853,1751335859999
1751335860000,107205.3,107250.0,107205.3,107250.0,19.727,1751335919999
1751335920000,107250.0,107266.2,107249.9,107250.1,17.258,1751335979999
1751335980000,107250.0,107250.0,107199.7,107199.7,13.7,1751336039999
1751336040000,107199.7,107233.0,107194.7,107233.0,15.471,1751336099999
1751336100000,107232.9,107233.0,107183.8,107189.2,55.598,1751336159999
1751336160000,107189.2,107197.9,107175.2,107175.2,8.095,1751336219999
1751336220000,107175.3,107237.4,107175.2,107219.7,20.363,1751336279999
1751336280000,107219.7,107263.5,107208.5,107263.5,27.398,1751336339999
1751336340000,107263.4,107288.0,107254.8,107254.9,24.256,1751336399999
1751336400000,107254.8,107254.8,107219.6,107247.6,17.165,1751336459999
1751336460000,107247.6,107260.5,107226.5,107226.7,18.52,1751336519999
1751336520000,107226.7,107247.6,107226.6,107247.5,11.713,1751336579999
1751336580000,107247.5,107266.0,107247.5,107266.0,23.673,1751336639999
1751336640000,107265.9,107266.0,107260.9,107265.9,15.067,1751336699999
1751336700000,107266.0,107288.6,107265.2,107265.3,17.552,1751336759999
1751336760000,107265.3,107270.7,107265.2,107270.6,7.516,1751336819999
1751336820000,107270.7,107290.0,107270.6,107289.9,11.002,1751336879999
1751336880000,107289.9,107289.9,107267.7,107271.9,26.916,1751336939999
1751336940000,107271.9,107281.7,107256.2,107281.6,14.282,1751336999999
1751337000000,107281.6,107340.7,107276.4,107340.7,187.357,1751337059999
1751337060000,107340.6,107364.1,107330.4,107353.1,50.441,1751337119999
1751337120000,107353.2,107353.2,107313.8,107348.0,29.832,1751337179999
1751337180000,107348.0,107365.8,107347.9,107353.7,24.199,1751337239999
1751337240000,107353.8,107353.8,107303.5,107323.6,41.69,1751337299999
1751337300000,107324.3,107329.4,107225.2,107225.2,30.738,1751337359999
1751337360000,107225.3,107276.9,107202.8,107276.9,32.482,1751337419999
1751337420000,107277.0,107290.0,107271.1,107271.1,14.421,1751337479999
1751337480000,107271.1,107278.7,107250.0,107250.1,24.664,1751337539999
1751337540000,107250.1,107250.1,107244.4,107244.4,9.543,1751337599999
1751337600000,107244.4,107244.4,107220.7,107226.0,11.355,1751337659999
1751337660000,107226.0,107230.5,107226.0,107226.0,14.934,1751337719999
1751337720000,107226.0,107226.1,107198.8,107214.9,27.076,1751337779999
1751337780000,107214.9,107220.6,107214.8,107220.5,3.084,1751337839999
1751337840000,107220.6,107220.6,107220.5,107220.5,19.636,1751337899999
1751337900000,107220.6,107220.6,107199.2,107199.2,17.678,1751337959999
1751337960000,107199.3,107199.3,107168.0,107171.0,18.738,1751338019999
1751338020000,107171.0,107177.4,107130.3,107161.3,49.77,1751338079999
1751338080000,107161.4,107162.8,107110.0,107110.0,44.355,1751338139999
1751338140000,107110.1,107129.1,107104.2,107107.1,65.861,1751338199999
1751338200000,107107.0,107107.1,107075.0,107075.0,44.438,1751338259999
1751338260000,107075.1,107086.8,107066.1,107066.1,45.251,1751338319999
1751338320000,107066.2,107093.0,107038.4,107073.9,86.62,1751338379999
1751338380000,107074.0,107074.2,107052.3,107057.2,48.584,1751338439999
1751338440000,107057.1,107057.2,107047.8,107047.9,24.932,1751338499999
1751338500000,107047.8,107094.2,107047.8,107091.6,37.046,1751338559999
1751338560000,107091.6,107091.6,107073.1,107073.1,17.96,1751338619999
1751338620000,107073.2,107073.2,107053.9,107054.0,15.675,1751338679999
1751338680000,107054.0,107075.2,107053.9,107075.1,30.436,1751338739999
1751338740000,107075.1,107075.2,107050.0,107050.1,19.038,1751338799999
1751338800000,107050.0,107050.1,107030.0,107048.6,65.418,1751338859999
1751338860000,107048.7,107070.7,107048.6,107057.7,49.927,1751338919999
1751338920000,107057.7,107057.7,107035.2,107039.3,27.759,1751338979999
1751338980000,107039.3,107039.3,107028.0,107032.0,40.448,1751339039999
1751339040000,107032.1,107072.0,107032.0,107062.6,47.687,1751339099999
1751339100000,107062.6,107078.8,107050.8,107052.9,40.548,1751339159999
1751339160000,107053.0,107061.8,107052.8,107061.8,15.265,1751339219999
1751339220000,107061.8,107086.4,107040.0,107086.4,34.791,1751339279999
1751339280000,107086.4,107120.6,107086.4,107088.4,123.976,1751339339999
1751339340000,107088.4,107095.3,107074.7,107074.7,25.225,1751339399999
1751339400000,107074.7,107078.5,107059.3,107061.5,29.43,1751339459999
1751339460000,107061.6,107061.6,107036.4,107036.4,28.015,1751339519999
1751339520000,107036.5,107070.9,107033.0,107070.8,32.798,1751339579999
1751339580000,107070.9,107080.1,107057.1,107057.1,26.349,1751339639999
1751339640000,107057.2,107059.7,107057.1,107059.1,26.436,1751339699999
1751339700000,107059.0,107069.9,107050.4,107050.5,39.653,1751339759999
1751339760000,107050.5,107102.8,107022.0,107102.8,143.722,1751339819999
1751339820000,107102.8,107102.8,107093.7,107093.7,24.685,1751339879999
1751339880000,107093.7,107093.8,107082.2,107082.3,13.803,1751339939999
1751339940000,107082.3,107126.2,107076.5,107126.2,22.242,1751339999999
1751340000000,107126.2,107155.0,107095.9,107100.0,165.667,1751340059999
1751340060000,107100.0,107100.1,107070.3,107070.4,36.978,1751340119999
1751340120000,107070.3,107101.6,107070.3,107100.2,18.591,1751340179999
1751340180000,107100.1,107136.1,107100.1,107127.4,43.214,1751340239999
1751340240000,107127.0,107150.0,107126.9,107145.0,30.218,1751340299999
1751340300000,107145.0,107145.0,107132.1,107141.1,11.432,1751340359999
1751340360000,107141.1,107172.4,107141.0,107172.3,24.936,1751340419999
1751340420000,107172.4,107172.4,107159.7,107159.8,23.299,1751340479999
1751340480000,107159.8,107159.8,107159.7,107159.8,9.043,1751340539999
1751340540000,107159.7,107169.0,107159.7,107169.0,14.879,1751340599999
1751340600000,107168.9,107169.0,107156.1,107156.1,9.876,1751340659999
1751340660000,107156.1,107156.2,107144.9,107144.9,14.244,1751340719999
1751340720000,107145.0,107145.0,107144.9,107144.9,10.859,1751340779999
1751340780000,107144.9,107145.0,107125.7,107125.7,24.969,1751340839999
1751340840000,107125.7,107125.8,107113.0,107113.1,30.919,1751340899999
1751340900000,107113.0,107123.6,107113.0,107113.0,16.448,1751340959999
1751340960000,107113.1,107113.1,107105.2,107105.2,12.939,1751341019999
1751341020000,107105.3,107124.1,107105.2,107124.0,21.029,1751341079999
1751341080000,107124.1,107124.1,107123.7,107123.8,21.61,1751341139999
1751341140000,107123.8,107143.3,107123.7,107143.2,14.064,1751341199999
1751341200000,107143.2,107143.3,107134.8,107134.8,13.139,1751341259999
1751341260000,107134.8,107134.9,107132.8,107132.9,13.667,1751341319999
1751341320000,107132.8,107132.9,107109.9,107109.9,20.163,1751341379999
1751341380000,107110.0,107127.8,107109.9,107127.7,21.429,1751341439999
1751341440000,107127.7,107127.8,107105.7,107105.7,29.619,1751341499999
1751341500000,107105.6,107105.7,107070.1,107070.1,31.491,1751341559999
1751341560000,107070.0,107091.9,107058.2,107077.5,62.881,1751341619999
1751341620000,107077.5,107091.9,107061.7,107061.7,12.596,1751341679999
1751341680000,107061.7,107078.0,107061.7,107078.0,14.768,1751341739999
1751341740000,107078.0,107078.0,107072.6,107077.1,12.043,1751341799999
1751341800000,107077.1,107077.1,107067.2,107068.5,16.343,1751341859999
1751341860000,107068.6,107114.8,107068.5,107114.8,15.763,1751341919999
1751341920000,107114.7,107120.0,107114.7,107119.9,11.742,1751341979999
1751341980000,107119.9,107126.3,107119.9,107126.3,40.475,1751342039999
1751342040000,107126.2,107153.8,107126.2,107146.4,30.633,1751342099999
1751342100000,107146.4,107153.8,107146.3,107150.4,20.326,1751342159999
1751342160000,107150.4,107150.5,107143.1,107143.1,7.341,1751342219999
1751342220000,107143.2,107155.6,107143.1,107155.5,10.141,1751342279999
1751342280000,107155.6,107176.1,107155.5,107170.9,23.303,1751342339999
1751342340000,107170.7,107170.8,107149.1,107149.4,21.944,1751342399999
1751342400000,107149.4,107157.6,107149.4,107154.3,39.327,1751342459999
1751342460000,107154.3,107163.0,107145.1,107163.0,18.698,1751342519999
1751342520000,107163.0,107163.0,107152.9,107153.0,17.206,1751342579999
1751342580000,107153.0,107153.0,107145.8,107150.0,20.442,1751342639999
1751342640000,107150.0,107155.2,107149.9,107155.1,7.09,1751342699999
1751342700000,107155.2,107164.5,107155.1,107164.5,18.574,1751342759999
1751342760000,107164.5,107164.5,107145.2,107145.2,22.851,1751342819999
1751342820000,107145.3,107145.3,107145.2,107145.2,7.677,1751342879999
1751342880000,107145.3,107152.9,107145.2,107152.9,24.021,1751342939999
1751342940000,107152.9,107152.9,107149.9,107150.0,11.42,1751342999999
1751343000000,107149.9,107150.0,107149.9,107149.9,10.304,1751343059999
1751343060000,107149.9,107150.0,107149.2,107149.2,6.653,1751343119999
1751343120000,107149.3,107149.3,107133.9,107134.0,21.076,1751343179999
1751343180000,107133.9,107144.5,107133.9,107144.4,18.545,1751343239999
1751343240000,107144.5,107144.5,107144.4,107144.5,15.758,1751343299999
1751343300000,107144.5,107144.5,107100.0,107100.0,78.596,1751343359999
1751343360000,107100.0,107100.1,107095.6,107095.6,14.889,1751343419999
1751343420000,107095.6,107095.7,107074.8,107074.9,43.447,1751343479999
1751343480000,107074.8,107074.9,107025.0,107025.0,90.214,1751343539999
